OpenTime,Open,High,Low,Close,BaseVolume,CloseTime,QuoteVolume,TradeCount,TakerBuyBaseVolume,TakerBuyQuoteVolume
1641830580,40950.33000000,40989.04000000,40881.47000000,40881.47000000,32.05554000,1641830639,1312457.73598910,882,16.87508000,690914.31937160
1641830640,40902.48000000,40955.77000000,40850.03000000,40850.03000000,40.55916000,1641830699,1658364.99845550,1025,13.90455000,568496.58863410
1641830700,40941.40000000,40950.01000000,40888.54000000,40888.54000000,39.12787000,1641830759,1601160.73410510,968,17.98508000,736000.58874540
1641830760,40944.32000000,41030.84000000,40931.84000000,40931.84000000,42.59904000,1641830819,1746632.50941450,1068,28.18928000,1155750.87173150
1641830820,41017.75000000,41017.76000000,40926.77000000,40926.77000000,29.13472000,1641830879,1193970.82161540,909,12.33325000,505369.16092460
1641830880,40963.00000000,40965.99000000,40915.01000000,40915.01000000,18.54830000,1641830939,759374.34952170,730,8.06497000,330168.39510290
1641830940,40929.63000000,40996.45000000,40929.63000000,40929.63000000,25.02221000,1641830999,1024871.81852930,792,13.79084000,564899.55388390
1641831000,40994.14000000,41050.00000000,40963.01000000,40963.01000000,45.76400000,1641831059,1876581.49712060,1048,21.74079000,891441.74444770
1641831060,41041.34000000,41074.00000000,41033.42000000,41033.42000000,18.41232000,1641831119,755824.13739920,722,12.26028000,503274.13232380
1641831120,41073.99000000,41156.98000000,41053.06000000,41053.06000000,42.02988000,1641831179,1727839.41363690,1301,30.09740000,1237212.21174470
1641831180,41148.01000000,41160.00000000,41100.00000000,41100.00000000,39.37681000,1641831239,1619656.95947060,993,24.38946000,1003253.89008890
1641831240,41100.00000000,41157.18000000,41100.00000000,41100.00000000,18.11297000,1641831299,745053.92512220,835,8.58893000,353262.84369290
1641831300,41143.01000000,41157.00000000,41080.67000000,41080.67000000,48.35984000,1641831359,1989124.40177020,884,30.55593000,1256995.74117030
1641831360,41080.67000000,41100.00000000,41063.00000000,41063.00000000,18.52597000,1641831419,761103.00111830,672,9.60193000,394486.69164310
1641831420,41073.76000000,41299.47000000,41073.76000000,41073.76000000,315.64213000,1641831479,12995410.39129500,3646,257.25069000,10588479.17297190
1641831480,41273.10000000,41940.78000000,41220.48000000,41220.48000000,784.87815000,1641831539,32725280.39288030,14985,521.05393000,21715907.85276620
1641831540,41740.81000000,41895.83000000,41666.66000000,41666.66000000,218.78505000,1641831599,9140141.41827170,4347,107.64587000,4496943.34488460
1641831600,41726.24000000,41884.62000000,41591.84000000,41591.84000000,196.67102000,1641831659,8208193.06570830,4652,87.88163000,3669062.82018550
1641831660,41593.71000000,41725.32000000,41588.00000000,41588.00000000,143.50590000,1641831719,5978422.19034760,2292,95.45352000,3976235.45740310
1641831720,41686.31000000,41702.26000000,41540.98000000,41540.98000000,118.77366000,1641831779,4941515.70607700,2515,48.36775000,2012146.82947770
1641831780,41630.70000000,41749.99000000,41554.79000000,41554.79000000,100.46966000,1641831839,4186411.49049520,1972,56.88964000,2370439.24096760
1641831840,41690.00000000,41751.95000000,41650.30000000,41650.30000000,71.38249000,1641831899,2976818.72355190,1454,36.75121000,1532701.46540390
1641831900,41717.78000000,41724.88000000,41635.01000000,41635.01000000,42.26224000,1641831959,1761530.09644090,1271,22.26973000,928217.98947650
1641831960,41723.90000000,41763.76000000,41686.71000000,41686.71000000,35.01733000,1641832019,1461175.96447700,1239,20.27028000,845828.85852640
1641832020,41751.94000000,41760.65000000,41653.84000000,41653.84000000,97.90091000,1641832079,4082439.46413000,1796,54.52618000,2273578.26637100
